gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
Nop14,0.0364,-0.0195,-0.0381,-0.094
Myst3,-0.0025,-0.0034,0.0147,0.0138
Fam78a,0.2097,0.6298,0.1097,0.5298
Atg2b,-0.0511,0.2591,-0.153,0.1572
Shroom4,0.0139,0.015,0.0131,0.0142
Pdcl2,0.0483,-0.0235,0.0487,-0.023
Sucnr1,0.0089,0.0415,-0.016,0.0167
Krt81,-0.0135,0.0297,-0.0465,-0.0033
Traf3ip1,0.0617,0.0527,0.0656,0.0565
AC124469.1,0.014,0.0075,-0.05,-0.0565
Nlrc3,-0.02,-0.0255,0.0182,0.0127
Pga5,-0.3847,-0.2676,-0.1712,-0.0541
Zfp60,-0.0212,-0.0673,0.0144,-0.0317
Spocd1,-0.0581,-0.053,0.0092,0.0143
Plp1,-0.1224,-0.1495,-0.0473,-0.0743
Lcn4,-0.0113,-0.014,0.0184,0.0157
Cpxcr1,-0.0256,-0.0277,-0.0157,-0.0178
Ldhb,0.3908,-0.7697,0.9885,-0.172
1700041G16Rik,-0.0022,0.0506,-0.0513,0.0015
Susd4,0.0282,-0.232,0.0921,-0.1681
AC100212.2,0.0094,-0.0249,0.0892,0.0549
Lypd5,0.0344,0.0116,0.0384,0.0157
Gm4847,-0.0499,-0.0172,-0.029,0.0037
Ptprh,0.0485,0.0515,-0.0031,-6.79034919919275E-5
Pole4,0.0165,0.2093,0.0589,0.2518
Hoxa7,0.0107,0.0845,-0.0283,0.0455
Pkn3,0.0016,-0.0012,0.1611,0.1583
Cpne4,0.0087,0.0533,-0.0043,0.0403
Kcnb1,0.0306,0.0518,-0.0202,0.001
Dgat2,0.2024,0.1079,-0.0374,-0.1319
Rbms2,0.4039,-0.1093,0.4021,-0.111
Cmtm3,0.1042,0.1795,-0.0689,0.0063
Gsdmd,0.3868,0.1224,0.4508,0.1864
Ptrh1,0.0466,-0.1156,0.09,-0.0722
Sftpb,0.011,0.0684,-0.0478,0.0096
Spata24,0.5118,0.2099,0.4607,0.1588
Slamf1,-0.0854,-0.0564,-0.0212,0.0078
Eml3,0.0361,0.1149,-0.0297,0.0491
Ppm1k,-0.0077,-0.1547,0.0212,-0.1258
4922505E12Rik,0.0161,-0.023,0.0561,0.017
BX842562.1,-0.0259,0.0653,-0.0875,0.0037
Tnp1,-0.0819,-0.0326,-0.0697,-0.0204
Arf5,-0.2674,-0.3805,5.86E-04,-0.1125
C330018D20Rik,0.0309,0.0879,-0.03,0.027
Nanos3,-0.1222,0.2268,-0.1207,0.2282
Gucy1b3,0.0052,-0.0275,-0.0415,-0.0741
AC119957.1,0.0327,0.0063,0.0029,-0.0235
Agrn,-0.0382,-0.0554,-5.17E-04,-0.0178
Olfr711,-0.0077,-0.0317,-0.0429,-0.0669
BC016495,-0.0446,-0.0718,0.0306,0.0034
Smc5,0.1646,0.0847,0.0038,-0.0762
Ablim3,0.0412,0.037,0.0047,6.12731220001272E-4
Nfkb2,-0.0584,-0.0637,-0.0603,-0.0657
Mcrs1,-0.188,-0.0459,-0.1276,0.0146
Cdca7l,-0.1263,-0.1282,-0.1713,-0.1733
Fbxo16,-0.0251,-0.0292,-0.1718,-0.1759
Traf7,0.0992,0.1494,0.0233,0.0735
Mnt,0.0877,0.0763,0.096,0.0846
Parp1,0.0723,-0.0406,0.0902,-0.0227
Ssbp3,-0.2292,-0.1578,-0.1953,-0.124
Card6,-0.0154,-0.0043,0.0391,0.0502
Tph2,-0.0512,-0.0601,-0.033,-0.0418
Olfr1445,0.0029,0.0112,0.0662,0.0745
Gm1614,0.0159,-0.0329,-0.0061,-0.0549
Ptp4a2,-0.1765,-0.3018,-0.0056,-0.1309
Olfr6,-0.0056,-0.0066,0.033,0.032
Wwp2,0.0016,-0.0112,0.0806,0.0679
Lrrc39,0.019,0.0564,-0.0217,0.0156
Mobkl1b,-0.0307,-0.0136,-0.016,0.0012
Amhr2,-0.0948,-0.0675,-0.0839,-0.0566
Atg4c,0.0354,0.0178,-0.0024,-0.02
Sptlc3,0.0352,0.0538,-0.0168,0.0018
Olfr642,-0.0383,0.0342,-0.0341,0.0384
Blmh,-0.0203,-0.0961,-0.1109,-0.1867
Nudt16l1,-0.1209,-0.0862,-0.0763,-0.0416
Prcp,-0.0578,-0.073,-0.2209,-0.2361
Stub1,-0.0807,0.0796,-0.0178,0.1425
Atp5sl,-0.1945,-0.2922,-0.1127,-0.2103
1500012F01Rik,-0.0642,0.0844,0.0204,0.1691
Thoc2,-0.188,-0.157,-0.0914,-0.0603
Lrch3,-0.068,-0.0553,0.0241,0.0368
Trim21,-0.142,-0.1971,-0.1227,-0.1778
4930428E23Rik,0.0322,0.0437,0.0082,0.0196
Eml5,-0.0095,-0.0642,-0.0199,-0.0746
Olfr980,-0.0048,0.0309,-0.0203,0.0154
Apbh,0.044,0.0108,0.0541,0.021
Sord,0.5422,-0.372,0.5634,-0.3509
H2-T10,-0.0245,-0.0687,-0.0098,-0.054
AC121566.2,-0.0026,-0.0049,0.0281,0.0258
Slc47a1,0.0813,-0.0692,0.1112,-0.0393
Rshl1,-0.0223,0.056,0.0136,0.0919
2010001M09Rik,0.0781,-0.0193,0.1072,0.0097
Tmem213,-0.0079,0.0135,-0.0047,0.0168
Angpt1,-9.11E-04,0.0191,-0.0078,0.0121
Parl,-0.0771,-0.0622,-0.1209,-0.106
Thtpa,0.1802,0.3561,-0.044,0.1318
Capza2,0.068,0.0512,0.0768,0.0601
AC133585.1,0.0652,0.0626,0.0683,0.0658
Gon4l,0.0722,0.0712,0.0793,0.0783
Fnbp4,-0.0822,-0.0671,-0.0271,-0.012
Cul5,-0.088,-0.1529,-0.0316,-0.0965
Ruvbl2,-0.0184,0.0328,-0.1169,-0.0658
Chdh,0.032,0.0537,0.0299,0.0516
Fabp9,-0.0104,-0.0014,-0.0673,-0.0583
AC154436.2,-0.0192,-0.0129,-0.0117,-0.0053
Diap1,-0.1476,-0.1047,-0.1713,-0.1285
2010001E11Rik,0.0187,0.0094,-0.0497,-0.0591
Katna1,0.1725,0.0335,0.0907,-0.0483
2010107E04Rik,0.0528,0.1439,0.2317,0.3228
Ogfod2,-0.1058,-0.1288,0.0154,-0.0075
Mlf1,-0.1986,-0.5035,-0.2591,-0.564
Tdpoz5,0.0027,0.0408,-0.0331,0.005
4932442L08Rik,-0.0105,-0.0087,-0.0044,-0.0026
Fhod3,-0.0121,-0.0383,0.0249,-0.0014
Pasd1,0.0777,0.0649,0.0316,0.0188
Fam171a1,-0.1017,-0.0655,-0.0905,-0.0543
4930524E20Rik,0.0155,0.0704,-0.048,0.0069
V1rg8,0.0174,-0.0541,0.0689,-0.0027
Bach1,0.0307,0.0392,-0.0119,-0.0035
Prss29,0.0021,0.0429,0.0272,0.0681
Antxr2,-0.0906,-0.0785,-0.0486,-0.0365
Ttc7,0.1461,0.1013,0.1189,0.0741
Mospd4,0.0167,0.0221,-0.0199,-0.0145
Olfr917,0.0233,-0.003,-0.0488,-0.0752
Gpm6a,0.0055,0.0331,0.0162,0.0438
Csgalnact1,-0.055,-0.0507,-0.0152,-0.0109
Cant1,-0.0539,0.0631,-0.0644,0.0526
Lcn5,-0.0482,0.0169,-0.0546,0.0104
Sdsl,0.1707,0.0686,0.085,-0.0172
Ubxn8,0.0015,0.0697,-0.0387,0.0296
Itga8,0.0034,0.0065,0.007,0.01
Gk2,-0.0305,0.0041,-0.019,0.0157
Srrm4,-0.0974,-0.0837,-0.041,-0.0273
5830417I10Rik,0.0722,0.0712,0.0793,0.0783
Bmp15,-0.0711,-0.0454,0.0239,0.0497
Samsn1,-6.87E-04,0.0181,-0.0689,-0.0501
Fam120b,-0.0415,-0.0623,-0.0292,-0.0501
Junb,-0.1185,0.0663,-0.3625,-0.1777
CR354601.1,0.0299,-0.0208,-0.0023,-0.053
AC132421.1,0.0166,-0.0308,-0.006,-0.0535
Rabl4,0.146,0.2101,0.0342,0.0984
Oprk1,-0.0716,-0.0319,-0.0254,0.0143
Fer1l5,-0.0597,-0.0743,-0.0229,-0.0375
Rom1,-0.0072,0.055,5.92E-04,0.0628
4933413G19Rik,-0.0366,-0.0447,0.0233,0.0152
Fam122b,-0.0757,-0.0738,-0.031,-0.0291
CR954967.1,0.0299,-0.0208,-0.0023,-0.053
Prl8a8,0.023,-0.0157,0.0505,0.0119
Kcnk7,-0.0245,-5.03E-04,-0.0049,0.0191
Ccdc45,0.0247,-0.0492,0.0788,0.0049
Ccdc163,-0.0016,0.1303,0.0305,0.1625
Spnb2,-0.0417,-0.0607,-0.0318,-0.0508
Sox6,-0.0158,0.0333,-0.0636,-0.0145
Olfr710,-0.0045,0.0223,-0.0294,-0.0026
Olfr122,0.0149,0.0335,-0.0402,-0.0217
Atoh8,-0.0426,0.0226,-0.0309,0.0343
Sirt2,0.0939,-0.1418,0.1889,-0.0468
Ccdc68,-0.0449,-0.0373,-0.0252,-0.0176
9430015G10Rik,-0.0137,-0.0492,-0.0347,-0.0702
Usp51,-0.1178,-0.0369,-0.1438,-0.0629
Cltb,-0.2443,0.3385,-0.2845,0.2984
Gap43,-0.5439,-0.6256,-0.677,-0.7588
Exo1,0.0095,0.0279,-0.0011,0.0172
Dbt,-0.0145,-0.082,0.0236,-0.0439
Akap9,-0.094,-0.2169,0.0112,-0.1117
AC125090.1,-0.0102,0.0231,0.0413,0.0747
Crtc2,-0.019,-0.0474,4.29E-04,-0.0279
AC102792.1,0.0273,0.0435,0.0074,0.0235
Sohlh2,0.1322,0.0977,0.1164,0.0819
Heatr7b2,-0.0355,-0.0321,0.0162,0.0196
1700008P20Rik,0.0535,-0.0221,0.1026,0.0271
Ropn1,0.0148,0.062,-0.0321,0.0152
Mdc1,0.068,0.0264,0.0346,-0.007
4933406J08Rik,0.0639,-0.0891,0.0619,-0.0911
Tor2a,0.0791,0.0777,-0.011,-0.0125
Tex264,0.6726,0.4123,0.4799,0.2195
Pisd,-0.0424,-0.1218,0.0224,-0.0571
Rdh10,0.1084,0.0786,0.0466,0.0168
Olfr549,-0.0041,-0.0784,0.035,-0.0393
9130401M01Rik,-0.1198,-0.1406,-0.0792,-0.1001
Hist2h3c1,0.2193,0.4011,0.058,0.2398
Entpd5,0.0675,0.1132,0.0847,0.1305
Ubtf,0.2957,0.4486,-0.2047,-0.0518
Znfx1,0.1219,0.2279,-0.02,0.086
Zfp472,-0.0804,-0.2248,-0.1862,-0.3306
Emilin1,-0.0962,-0.0525,0.0052,0.0489
Pes1,-0.1447,-0.4769,-0.0131,-0.3454
Drg1,0.0893,-0.1869,0.1399,-0.1364
Dis3l2,-0.1053,-0.0645,-0.096,-0.0553
Lhx5,-0.0196,-0.0018,0.0207,0.0385
Hkdc1,-0.0315,-0.0919,0.002,-0.0585
Cyp2a5,0.0479,0.0689,9.61E-04,0.022
Tas2r104,-0.0812,-0.0504,-0.0398,-0.0091
Btbd3,-0.007,0.0745,-0.0302,0.0513
Galnt3,0.003,-0.0347,-0.0471,-0.0848
Gm7092,0.02,0.0541,0.0536,0.0877
Chd8,0.1477,0.0719,-0.1371,-0.2129
Crygf,-0.0295,0.0232,0.0267,0.0793
Olfr1444,0.0888,0.0414,0.0881,0.0407
Acap1,0.4778,0.5632,0.2965,0.3819
Gtpbp6,-0.0867,0.1317,-0.1538,0.0646
Mcoln1,-0.0106,-0.0303,0.0299,0.0103
Nxnl2,0.0309,0.0593,0.0132,0.0416
Mocos,-0.1351,-0.1695,-0.0676,-0.102
Zswim6,-0.7186,-0.5307,-0.5755,-0.3876
AC124717.3,-0.1364,-0.1291,-0.2314,-0.2241
D5Ertd579e,-0.009,0.0393,-0.0075,0.0408
S100a8,-0.0072,0.0241,-0.0053,0.026
AC137524.1,0.0195,0.0237,0.0217,0.0258
AC135633.1,-0.0313,0.0605,-0.0646,0.0272
Gys2,-0.0161,0.0066,-0.0067,0.0159
Rnf34,-0.2666,-0.346,-0.0383,-0.1176
Samd8,-6.60E-04,-0.0744,0.1227,0.049
AC140440.2,-0.0259,0.0653,-0.0875,0.0037
4930432K21Rik,-0.0826,-0.0031,-0.0518,0.0278
AL807777.2,0.0407,0.1879,-0.0231,0.1241
Cckbr,0.0167,-0.0301,0.0294,-0.0174
ORF63,0.0222,0.0422,0.0082,0.0282
Fam69b,-0.0584,0.0997,0.0318,0.1899
Trim69,0.0126,-0.017,-0.0123,-0.0419
Mfsd10,0.2193,0.3732,0.1079,0.2619
Serpine2,-0.006,-0.0262,-0.0192,-0.0394
Pmaip1,-0.076,-0.0504,-0.011,0.0146
Gm527,-0.0031,-0.0172,0.0079,-0.0062
Scx,-0.0786,-0.0519,-0.002,0.0247
Olfr523,-0.0134,0.0064,-0.0325,-0.0127
Oit3,-0.0069,0.0439,0.0169,0.0677
Qk,0.1027,0.0078,0.208,0.1131
Kctd11,0.4778,0.5632,0.2965,0.3819
Naa11,-0.1102,-0.0841,0.0123,0.0384
Ncbp1,0.0706,0.1198,-0.0336,0.0155
RP23-186P20.1,0.0575,-0.0046,0.0018,-0.0603
Hoxa6,-0.0347,-0.0358,-0.06,-0.0611
B2m,-0.7067,-1.4251,-0.5276,-1.2459
AC134243.2,-0.0556,-0.0593,-0.0537,-0.0573
Banp,-0.0503,-0.0378,0.0277,0.0403
Slc26a3,0.1063,0.0908,0.0329,0.0174
Usp19,-0.0986,-0.1792,-0.1192,-0.1998
Olfr547,0.0397,0.0035,-0.0032,-0.0393
Thoc5,-0.0689,-0.2414,-0.0553,-0.2278
AL713894.1,0.0222,0.0128,-0.0112,-0.0207
2200002D01Rik,0.0234,0.3956,0.086,0.4581
Mobkl3,-0.1616,-0.1758,-0.0884,-0.1026
Zfp2,0.0095,0.0148,0.0165,0.0218
Ube2dnl,-0.0399,0.1109,-0.1047,0.046
Naip5,-0.0614,-0.0433,-0.0701,-0.052
1700029F09Rik,-0.144,-0.0769,-0.1966,-0.1295
Zswim6,-0.6637,-0.4704,-0.5279,-0.3347
Dennd2c,-0.0779,0.0991,-0.1659,0.0111
Tshz1,-0.058,-0.0285,-0.0474,-0.018
3830408C21Rik,0.0152,0.0223,-0.0063,9.00340574863101E-4
Rhox2c,0.0368,-0.0691,-0.0594,-0.1653
Olfr545,0.0011,0.0144,-0.0196,-0.0063
AC158600.1,0.0963,0.0318,0.2796,0.215
Abcb8,0.0541,0.078,0.1003,0.1242
Acp5,0.1076,0.0675,0.0423,0.0022
Gcc1,-0.0917,-0.0901,-0.0998,-0.0981
Ubxn4,-0.0522,0.0113,0.0076,0.071
Abi1,-0.1401,-0.1566,-0.007,-0.0235
Ikzf2,0.0235,0.0489,0.0189,0.0443
Ptpn20,0.0265,0.0281,-0.0245,-0.0228
Cdipt,0.035,0.1084,-0.0437,0.0297
Dnaja2,-0.0137,-0.0616,-7.05E-04,-0.0486
Ubash3a,-0.004,0.0493,-0.0305,0.0228
S100a7a,-0.0066,-0.0664,-0.0011,-0.061
Mar-03,0.0185,-0.0203,0.0467,0.0079
Stk33,0.018,-0.0196,0.006,-0.0316
Bod1l,0.0224,0.0337,-0.023,-0.0116
Uso1,0.2068,0.1598,-0.011,-0.058
Psmg1,0.0823,0.1285,-0.019,0.0271
Ptprz1,-0.0438,0.0422,0.0201,0.1061
Hist2h2aa2,0.2193,0.4011,0.058,0.2398
Igsf9b,-0.03,-0.0301,0.0121,0.012
Lgals3bp,0.112,-0.0079,0.1091,-0.0108
Carkd,-0.0584,0.1789,-0.029,0.2083
4931408C20Rik,0.0073,0.057,-0.0202,0.0295
Fam83a,-0.0287,0.0499,-0.0324,0.0462
Olfr781,-0.04,-0.0551,-0.0427,-0.0578
Patl2,-0.2114,-0.2033,-0.0471,-0.039
Snx1,0.3886,0.2563,0.5209,0.3886
Lect1,-0.0149,0.0112,-0.0667,-0.0406
Hspb8,0.42,-0.6951,0.4465,-0.6686
Gldc,-0.2337,-0.8509,-0.3583,-0.9755
Vps18,0.0129,-0.1748,0.1018,-0.0859
Timm8a1,-0.1032,-0.0034,-0.1079,-0.0081
C330024D21Rik,-0.0181,0.0316,-0.0288,0.0209
Higd2a,0.0731,0.2927,-0.0289,0.1907
Pex16,0.1942,0.1246,0.2315,0.1619
Mrpl44,0.0375,0.0024,-0.0953,-0.1304
Ddc8,0.0213,0.0258,0.0202,0.0246
Lmo1,0.0222,0.0319,0.0082,0.0179
Mios,0.2549,-0.0343,0.051,-0.2382
Olfr441,-0.0014,-0.0345,0.0277,-0.0054
AC161434.1,0.0482,0.0241,0.0143,-0.0098
Pxn,0.0063,0.159,-0.1819,-0.0291
Tprkb,-0.0033,-0.0837,0.045,-0.0354
Zbtb26,-0.225,-0.2149,-0.0521,-0.0419
Cldn10a,-0.0095,-0.0337,0.0142,-0.0101
Mtmr12,0.2768,0.0411,0.2817,0.0461
Olfr979,0.0283,-0.0135,0.0229,-0.0188
Bcas3,0.4819,0.0311,0.1743,-0.2765
Spag1,-0.099,-0.095,-0.0496,-0.0456
Rbm9,-0.0954,0.0952,-0.2068,-0.0162
AC116556.1,0.9309,0.3118,1.0061,0.3871
Cnga4,0.0842,0.0299,0.0568,0.0025
Homer1,-0.4558,-0.3815,-0.3724,-0.2981
Sctr,-0.0031,-0.061,0.0179,-0.04
Hepacam,0.0264,0.0559,0.0442,0.0737
Ddx27,-0.087,-0.1046,-0.1488,-0.1665
Olfr1368,-0.0296,-0.0356,0.0054,-6.07925491939554E-4
Ecm1,-0.1178,-0.0965,-0.0449,-0.0236
Eef2k,-0.0853,0.039,-0.1271,-0.0028
Emp2,0.0064,0.1652,0.0602,0.2191
RP23-291C10.1,-0.0271,-0.0191,-0.0527,-0.0446
H2-Aa,-0.0253,-0.0439,-8.63E-04,-0.0195
AC121838.1,-0.0141,-0.0198,-0.0395,-0.0452
Pdia6,-0.1247,0.037,-0.0494,0.1124
Aqp7,0.0388,0.0157,0.0637,0.0406
Zdhhc18,-0.0532,-0.0051,-0.0485,-4.48440526390925E-4
Actn1,-0.0928,0.1312,-0.1634,0.0607
V1rg12,-0.0329,0.0214,-0.0314,0.0229
Ndufa12,0.1911,0.0912,0.3287,0.2288
Timp2,-0.1252,-0.2216,-0.1399,-0.2363
Smo,-0.0146,-0.0184,0.0178,0.0139
Asphd1,0.0094,0.0808,-0.0496,0.0218
Bcar3,-0.1616,-0.0986,0.0162,0.0793
Trmt112,-0.4051,-0.1019,-0.2756,0.0276
Sfrs11,-0.0156,0.1332,4.77E-04,0.1493
Mmachc,0.0386,-0.0232,0.0714,0.0096
Igfbp5,-0.1047,-0.1021,-0.019,-0.0164
Klhl13,0.3901,-0.5167,0.2434,-0.6634
Prss28,-0.0058,-0.0568,0.063,0.0119
Dstyk,0.017,0.0299,0.0493,0.0621
Heatr5b,0.0653,0.0722,0.0718,0.0787
Cox7a2l,-0.5289,-0.3805,-0.2446,-0.0962
Slc23a1,-0.0502,-0.0115,5.03E-04,0.0392
B3gat3,0.0915,0.057,0.0933,0.0588
Atxn7l2,-0.2444,0.0179,-0.2726,-0.0103
AC074229.1,0.0339,0.048,0.057,0.0711
Gpsm3,0.0022,-0.0315,0.01,-0.0237
Afap1l1,0.0043,0.0386,-0.0158,0.0186
Camta2,0.1295,-0.0124,-0.1175,-0.2594
Cblc,0.0483,-0.0218,0.0359,-0.0342
Olfr522,0.0157,0.028,0.0044,0.0167
Ccdc114,-0.2571,-0.3765,-0.2179,-0.3373
Htr1f,0.031,-0.0207,0.034,-0.0176
Nfkbiz,-0.034,-0.1005,-0.0065,-0.073
Ptprn,0.0255,-0.0379,-0.0229,-0.0863
Lrrc48,0.1388,0.0445,0.0813,-0.013
Aadac,0.0234,-0.0087,0.0199,-0.0122
Slc34a3,0.145,0.1372,0.1477,0.14
4933424B01Rik,-0.3791,-0.1397,-0.2163,0.0231
AC117588.1,-0.132,-0.2588,0.067,-0.0598
Snapc4,-0.0613,-0.1791,0.0074,-0.1104
Atp5c1,-0.0024,-0.082,0.1902,0.1105
AC154759.1,-0.0269,0.016,0.01,0.0528
Lhb,0.0374,0.0417,0.0392,0.0435
1700011A15Rik,0.0102,0.0422,-0.008,0.0241
Vwce,-0.0502,-0.0047,-0.041,0.0045
Dnajc15,-0.1826,0.5723,-0.2329,0.522
Irf1,-0.1378,-0.6696,-0.0958,-0.6276
Plekha2,0.199,0.2551,0.5201,0.5761
Efhb,0.0386,-0.0289,0.0709,0.0034
Mterf,0.0572,0.2664,-0.0784,0.1308
Sfn,-0.3808,-0.4728,-0.5632,-0.6553
Ttll10,-0.0032,0.0688,0.0094,0.0814
Lalba,0.0169,-0.0159,0.0482,0.0154
Notch3,-0.1028,-0.3893,-0.0808,-0.3673
Pla2g12a,-0.0777,-0.1374,-0.0757,-0.1354
Slc47a2,0.0109,0.0457,-0.0137,0.021
Itga6,-0.0894,-0.1336,-0.0163,-0.0605
Tdpoz1,-0.0046,-0.0309,-0.0073,-0.0337
P2rx6,-0.1412,-0.0718,-0.0644,0.005
Mtmr2,-0.1317,-0.1502,-0.095,-0.1136
V1rc27,0.0191,0.0019,-0.0114,-0.0285
Cep55,0.0233,0.1371,0.0641,0.1779
Hcfc2,0.1386,0.079,0.1954,0.1357
4632434I11Rik,-0.0201,0.0205,-0.034,0.0066
Synj1,-0.0017,-0.0182,-0.0161,-0.0325
Sprn,0.013,-0.0221,0.0231,-0.012
Tas2r106,0.0301,0.0383,0.0138,0.0219
Rab11b,-0.3702,-0.3246,-0.2898,-0.2442
Ankle1,-0.0851,-0.0637,-0.0961,-0.0746
Zfyve9,-0.0317,-0.0477,0.0137,-0.0023
Gm101,-0.0297,-0.0406,-0.0199,-0.0308
8030462N17Rik,-0.1376,-0.1118,-0.1824,-0.1566
Jund,0.065,0.0782,0.0414,0.0546
Elof1,0.0955,0.1448,0.0063,0.0556
Col1a1,-0.0569,-0.0428,-0.0677,-0.0536
Ddx5,-0.2253,-0.2421,-0.0949,-0.1117
Brd1,0.205,0.0776,0.3161,0.1887
Zxdc,0.0212,0.078,0.1629,0.2196
Fstl5,0.0381,0.0448,0.0604,0.0671
Snx22,-0.0119,0.0242,-0.0208,0.0153
Foxg1,-0.0409,-0.0783,-0.0376,-0.075
Fto,0.1634,0.1214,-0.0821,-0.1241
1700023I07Rik,-0.0817,-0.0418,-0.0445,-0.0046
Trpc1,-0.0174,-0.0477,0.0254,-0.0049
Unc5c,-0.0314,-0.0447,-0.0091,-0.0224
AC079443.1,0.5382,0.043,0.3993,-0.096
Dgkd,-0.1292,-0.4411,-0.0014,-0.3133
Clptm1l,-0.074,-0.0315,-0.0332,0.0093
Rnf17,0.1556,0.1833,0.0947,0.1224
Tie1,-0.0353,-0.0999,0.0048,-0.0598
Gmpr2,0.2997,0.3839,0.1061,0.1902
Mcm4,-0.1013,-0.0938,-0.0574,-0.0499
AC158600.6,0.0963,0.0318,0.2796,0.215
Cml1,0.0637,0.0817,-0.0328,-0.0148
D19Bwg1357e,-0.0176,-0.0892,-0.0992,-0.1707
Fam183b,-0.3805,-0.5188,-0.6183,-0.7566
AC158600.3,0.0963,0.0318,0.2796,0.215
Slc39a1,-0.0021,0.0132,0.089,0.1043
Lcn8,0.0267,0.0349,0.0134,0.0216
Gba,0.1862,-0.2554,0.1681,-0.2735
Smyd1,0.0169,0.1088,0.0424,0.1343
CR954961.1,0.0299,-0.0208,-0.0023,-0.053
Scg3,-0.0138,-0.0707,0.0247,-0.0322
A430060F13Rik,-0.0016,0.0367,-0.0454,-0.0072
Ric3,0.0682,0.0719,0.0484,0.0521
Igfbp3,-0.4124,-0.6912,-0.3916,-0.6704
Polg,0.0236,-0.0649,-0.0676,-0.1562
Prmt10,-0.061,-0.03,-0.0237,0.0073
Fahd1,-0.0765,-0.0582,-0.1726,-0.1543
Tbc1d25,0.11,0.0855,-0.1063,-0.1308
Zkscan17,-0.1303,-0.1844,-0.2375,-0.2917
Atxn7l3,-0.0331,-0.0451,0.0052,-0.0067
Hfe,-0.0316,-0.0371,-0.0392,-0.0448
4931440F15Rik,-0.0579,-0.0416,-0.0243,-0.008
Olfr42,-0.0618,-0.0707,-0.0147,-0.0235
Sec24d,-0.1964,-0.1772,-0.2295,-0.2103
AC109139.1,0.0086,-0.0087,-0.0057,-0.0229
Bat5,0.0285,0.062,0.0649,0.0984
2310016E02Rik,0.3291,0.5235,0.2117,0.4061
Fam129a,0.219,0.4236,0.0348,0.2393
Dnajb6,-0.082,-0.1899,-0.0104,-0.1183
Zfp276,0.0366,0.0428,0.0902,0.0963
Adam24,0.0098,0.0191,-0.0399,-0.0306
Adrbk1,-0.0204,-0.024,-0.024,-0.0276
Tas2r107,0.0098,0.0159,-0.0013,0.0048
Mthfd2,0.4384,-0.1399,0.3988,-0.1795
Gria1,0.0078,0.0484,-0.0425,-0.0019
Baiap2l1,0.0447,0.0075,0.0355,-0.0016
Rab20,0.0204,0.0442,0.0105,0.0342
Set,-0.014,-0.0735,0.0252,-0.0343
AC161058.2,-0.2279,-0.1629,-0.0657,-7.47883601320609E-4
F13a1,0.027,0.0192,0.0494,0.0416
Aldh1a2,-0.0222,0.0383,-0.0085,0.052
Olfr641,0.0044,0.0303,-0.0643,-0.0384
Gm5138,-0.1168,-0.1361,-0.0247,-0.044
Gm4846,0.0478,-0.0107,0.0037,-0.0548
Zdhhc13,-0.2481,-0.2731,-0.2648,-0.2899
Gopc,-0.0603,-0.0612,0.0188,0.018
AC122916.1,0.094,0.0475,0.1031,0.0565
Zfp51,0.0056,0.0568,-0.0083,0.0428
Mbd4,0.281,0.2344,0.1125,0.066
Lpar2,-0.0804,-0.1462,-0.0576,-0.1235
6330403A02Rik,-0.0141,-0.0198,-0.0395,-0.0452
Ntf5,-0.0441,0.0116,-0.0015,0.0541
Scamp4,-0.0201,0.2026,0.0606,0.2834
Clec4a2,-0.0251,-0.0336,-0.0456,-0.0541
Coro1c,0.0072,0.0066,-0.6765,-0.6771
Col11a2,-0.0564,-0.0388,0.0152,0.0329
Map6d1,0.0077,0.0448,-0.0214,0.0157
AC158600.5,0.0963,0.0318,0.2796,0.215
Naa15,-0.1733,-0.1324,-0.2156,-0.1747
Olfr708,0.0195,0.0237,0.0217,0.0258
Slc6a17,-0.0373,-0.0352,-0.0197,-0.0176
Nova1,-0.0209,0.0384,-0.0324,0.0269
Kptn,-0.0524,0.1024,0.0171,0.1719
RP23-361O2.1,0.0024,-0.001,-0.003,-0.0064
Zfp14,0.0467,-0.0311,0.0251,-0.0527
A530098C11Rik,-0.0161,-0.0609,0.0458,9.45757221072263E-4
Gucy1b2,0.045,0.0439,0.0811,0.0799
Tmem181a,0.4168,1.1515,0.4875,1.2222
Pet112l,0.1651,0.2976,0.055,0.1875
AC159312.1,0.0084,0.0221,-0.0373,-0.0236
Chek2,-0.097,-0.3364,-0.0902,-0.3296
Ampd1,0.0988,0.2042,0.0273,0.1327
CT009564.1,-0.0257,-0.0254,-0.0024,-0.0021
AC158600.4,0.0963,0.0318,0.2796,0.215
Cyb5r3,0.3155,0.2977,0.4382,0.4204
Phf16,-0.0461,-0.0355,-0.0398,-0.0292
Lpxn,-0.0269,-0.0161,0.0501,0.0608
V1rg9,-0.0109,0.016,0.0371,0.064
Insc,-0.0318,0.0474,-0.0768,0.0024
Spg11,0.0919,0.1028,0.0418,0.0528
Tacr1,0.016,-0.0984,0.0124,-0.102
Fcho1,0.2476,0.3041,0.0538,0.1104
Ccdc19,0.3395,0.6751,0.3589,0.6945
Slc35f3,-0.0139,-0.0454,-3.73E-04,-0.0319
Gm1587,-0.0086,0.0489,-0.0391,0.0183
1700019G17Rik,-0.0768,-0.06,-0.0526,-0.0357
Sh3bgrl2,0.1682,-0.1366,0.1036,-0.2012
Fnd3c2,0.0539,0.0552,0.0143,0.0156
Gpn2,0.1249,0.0538,0.0577,-0.0134
