genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
Tmem11,0.5476,0.2431,0.0283,0.006759735
Rtp1,0.5128,0.1694,0.675,0.251928974
Eif2ak1,0.9949,0.9249,0.7817,0.852446408
B3gnt9,0.855,0.8211,0.9929,0.62340945
P2ry14,0.6336,0.1077,0.9172,0.682130254
Svil,0.8885,0.45,0.9458,0.452750229
Ccdc151,0.8744,0.6267,0.9074,0.99104858
E230001N04Rik,0.7808,0.4887,0.9673,0.916490995
Fam111a,0.5308,0.2983,0.0609,0.019754771
Olfr150,0.9263,0.692,0.7836,0.487373085
Itpr2,0.9504,0.8112,0.9503,0.819761487
Myof,0.0012,0.0334,0.008,0.280381875
Ndufv1,0.5396,0.3295,0.7008,0.465660658
Fcgrt,0.0259,0.157,0.3152,0.817033329
C330016O10Rik,0.4389,0.3566,0.3131,0.614802894
Fam98c,0.2058,0.0719,0.1894,0.052360348
Ypel3,0.9669,0.2613,0.9792,0.288657292
Ptpn5,0.5503,0.7534,0.977,0.928462119
Zfp799,0.9643,0.7955,0.8911,0.992766386
AL808110.2,0.2031,0.5214,0.6248,0.927551137
Kif21a,0.9351,0.3413,0.7887,0.176324364
Cyp4a14,0.9401,0.5893,0.9271,0.899792832
Arcn1,0.9621,0.9316,0.6073,0.523364675
Lpar5,0.8332,0.5884,0.7722,0.915249987
Lrrc19,0.6577,0.9218,0.9751,0.746694945
Mfsd11,0.8011,0.6146,0.2768,0.141542246
Ifna7,0.961,0.9955,0.9714,0.922158088
Glt8d1,0.9812,0.5997,0.8799,0.852132243
Tas2r134,0.9091,0.776,0.5717,0.941804547
Hsd17b6,0.9063,0.8893,0.9164,0.89479386
Tlr4,0.8945,0.6344,0.5806,0.277846651
Plb1,0.6665,0.317,0.8219,0.27759152
Olfr1234,0.9189,0.8841,0.9593,0.970156601
Ell,0.8211,0.7203,0.9822,0.940964782
Zfp873,0.0166,0.1838,0.3749,0.975238992
AC166827.2,0.3244,0.0298,0.9371,0.600681978
Pak4,0.4904,0.1239,0.9356,0.503756407
Gsta3,0.1391,0.0911,0.3322,0.214118531
Cspg4,0.9933,0.5886,0.96,0.527207815
Lypla1,0.6187,0.4848,0.6786,0.562208731
Pla2g2e,0.8584,0.9126,0.5562,0.861101428
Pcdhb19,0.8616,0.3614,0.9567,0.761810546
Bet1,0.6017,0.6718,0.891,0.940276257
Olfr342,0.9724,0.8218,0.9893,0.924069978
Rnaseh2c,0.8318,0.8711,0.9944,0.660176346
AC102195.1,0.9017,0.7882,0.8519,0.911284256
Abi3bp,0.6947,0.4352,0.82,0.562764786
Kbtbd7,0.0021,0.047,0.0019,0.072458631
Reln,0.5874,0.0711,0.1846,0.010200872
Olfr1233,0.9777,0.426,0.9888,0.497130377
Spaca5,0.5465,0.7211,0.8333,0.612025712
Tanc2,0.2923,0.2517,0.9914,0.979349456
Rasd1,0.3641,0.3637,0.8549,0.84391374
B4galt1,0.9963,0.0111,0.9577,0.007210789
Gsto1,0.5228,0.0743,0.7679,0.147859458
Olfr341,0.4625,0.967,0.7504,0.841851941
Nfyc,0.7683,0.2371,0.963,0.493253038
RP23-265I19.1,0.7009,0.9796,0.9438,0.825021318
AC159539.4,0.5023,0.1924,0.0643,0.013316788
Trpc6,0.6629,0.8807,0.3879,0.160429116
Ly6h,0.0651,0.0704,0.0488,0.042213944
AC113107.2,0.8938,0.8837,0.9815,0.812343411
Pcdhb18,0.9834,0.9679,0.8723,0.865745427
E130203B14Rik,0.955,0.9684,0.8311,0.766488269
Olfr1232,0.6745,0.7936,0.963,0.864281844
Fhl5,0.9109,0.3985,0.8807,0.552880333
AC140278.2,0.8226,0.696,0.974,0.90925759
Mamdc4,0.5135,0.4022,0.7348,0.612025712
Wdr47,0.6305,0.1597,0.7841,0.233350853
Olfr5,0.6787,0.7899,0.9744,0.485840783
Lyplal1,0.4601,0.7703,0.3219,0.614802894
RP24-364O14.1,0.1408,0.0548,0.4277,0.184572613
S100a1,0.4956,0.8292,0.2686,0.975125715
Isg20,0.9208,0.9911,0.485,0.618470467
9430020K01Rik,0.2439,0.4258,0.9424,0.742582688
Zfp58,0.5352,0.7502,0.9745,0.926191313
Lbr,0.7089,0.77,0.8354,0.861229147
Klhl18,0.7759,0.0305,0.8707,0.037635672
Spink5,0.9908,0.7515,0.9634,0.688536043
Entpd7,0.9051,0.5359,0.657,0.909752326
Gm6498,0.7458,0.9054,0.445,0.887121122
Zfp609,0.8944,0.5925,0.8309,0.178945307
Sike1,0.8997,0.374,0.8402,0.583930691
Gdpd3,0.9425,0.4561,0.7243,0.206097612
Olfr1231,0.7445,0.6102,0.9109,0.959757082
Jub,0.7386,0.4869,0.9105,0.706731783
Tecr,0.4852,0.3122,0.8714,0.953830143
Kif13b,0.9153,0.5001,0.7404,0.277160168
Zfp672,0.8654,0.6372,0.7222,0.451967342
Polb,0.0673,0.5413,0.9428,0.528452136
4930579J09Rik,0.9696,0.4893,0.0894,0.384693946
Fam134c,0.7842,0.6524,0.4956,0.345104761
Cnfn,0.95,0.5397,0.5372,0.898349238
Cask,0.0229,0.001,0.0501,0.001703438
Glrx5,0.7718,0.8568,0.7996,0.650031792
EG625530,0.871,0.9665,0.9909,0.860637601
Hmgcl,0.0257,0.0145,0.0407,0.018000754
Ankrd37,0.2249,0.0877,0.0375,0.010011149
Lpar6,0.0569,0.3248,0.0852,0.421126895
Apoc1,0.3165,0.1653,0.0903,0.033502854
AC151477.1,0.8943,0.8411,0.9305,0.885535077
Olfr1230,0.9845,0.5263,0.9063,0.819403632
Otub2,0.7669,0.783,0.9598,0.972271914
Icosl,0.7542,0.4422,0.9735,0.893761566
AC099572.1,0.2401,0.7119,0.6455,0.997729058
Jmjd6,0.4286,0.3116,0.3249,0.211847277
Gnat3,0.9933,0.3164,0.8032,0.116466815
Edar,0.9819,0.8693,0.8554,0.976325629
Hist1h3g,5.05210296933418E-4,2.65613144358094E-4,0.5669,0.6104016
Prss22,0.0987,0.4065,0.1818,0.595385746
Olfr243,0.4635,0.4016,0.8477,0.785565418
Spcs1,0.8044,0.0815,0.4868,0.874467348
Eif2ak4,0.8535,0.8108,0.9655,0.947733565
2510006D16Rik,0.7753,0.7775,0.4915,0.47615839
Gba2,0.8131,0.7707,0.4942,0.971622225
Disc1,0.5691,0.5606,0.842,0.82138894
D030074E01Rik,0.9003,0.8227,0.849,0.38935334
Ivns1abp,0.6086,0.5748,0.917,0.323577786
Dtx4,0.7101,0.3959,0.739,0.401111196
Med9,0.0661,0.6558,0.7985,0.074694754
Cds1,0.0447,0.0234,0.2256,0.116029222
Hddc2,0.9662,0.3489,0.4496,0.981430418
9030619P08Rik,0.9106,0.7841,0.8054,0.876500152
Med23,0.6664,0.7518,0.5119,0.58778753
4921506M07Rik,0.7436,0.7839,0.5408,0.992317434
Rad1,0.3958,0.609,0.6652,0.844410018
Fxyd1,0.9843,0.471,0.5128,0.991842644
Mtpap,0.9604,0.9549,0.9605,0.956033678
Dpp9,0.9924,0.5974,0.9831,0.725571957
Tmem185b,0.2434,0.101,0.7383,0.019790982
Olfr1311,0.7432,0.7765,0.4259,0.971092492
Ccnl2,0.3962,0.4848,0.8832,0.76534408
March10,0.1787,0.0862,0.9797,0.852446408
Snx30,0.8753,0.5643,0.9191,0.609459003
Tmem86a,0.6415,0.8757,0.8255,0.972407304
Gng11,0.6889,0.8458,0.9784,0.858142594
Tspan15,0.9747,0.4818,0.5568,0.992629824
Wdr1,0.4916,0.3228,0.7515,0.56062477
B3gnt5,0.4293,0.3492,0.9191,0.944243658
Gm94,0.9278,0.7092,0.9686,0.798955753
Fgfrl1,0.8509,0.76,0.5744,0.440493333
Ttc24,0.1795,0.4718,0.2818,0.624964332
Hrnr,0.9959,0.8263,0.9557,0.941380048
Nsun3,0.9256,0.803,0.9947,0.947733565
Ankib1,0.9197,0.8475,0.9681,0.678169239
5330426P16Rik,0.816,0.7979,0.6618,0.982572589
Sntg2,0.9332,0.7616,0.9941,0.886370535
Mrpl1,0.0736,0.2244,0.9614,0.848314052
Pip,0.8824,0.8847,0.8477,0.972678606
AL671887.1,0.9347,0.2446,0.8388,0.721251984
Mxra7,0.8204,0.4578,0.7032,0.320316244
Olfr1310,0.9034,0.8022,0.6457,0.490026187
Nrn1l,0.4779,0.4681,0.7248,0.70517217
Arhgap25,0.8803,0.6445,0.9655,0.941200979
Smarca5,5.91815852091984E-4,0.1838,0.0015,0.543322935
Glp2r,0.5403,0.3788,0.9734,0.889787177
Pitx1,0.9637,0.9684,0.8594,0.837097888
Gpr176,0.9964,0.7201,0.9167,0.92663626
Gzmd,0.8337,0.7414,0.9777,0.993573462
Slc2a3,0.3864,0.9291,0.3583,0.992766386
AC121961.1,0.8825,0.9678,0.8337,0.973181075
Reg3g,0.4998,0.8328,0.958,0.664260951
Bche,0.7749,0.7,0.9557,0.975555509
CT030167.1,0.4688,0.1503,0.7545,0.319572108
Olfr178,0.4268,0.5646,0.2222,0.310505222
Tsnax,0.9562,0.6655,0.6977,0.32192526
St6galnac1,0.4366,0.4346,0.9881,0.997729058
Rps19,0.4099,0.1859,0.5731,0.273761823
Egr1,0.1442,0.2755,0.01,0.015403445
Tec,0.855,0.7415,0.9301,0.840746772
AL844480.2,0.2706,0.1033,0.9371,0.702635205
Nccrp1,0.6965,0.1886,0.9947,0.613130314
Ccdc61,0.442,0.538,0.8734,0.939243197
Tpmt,0.6297,0.6016,0.6026,0.76373455
Cd99l2,0.0081,0.4624,0.0462,0.9225045
Mast4,0.864,0.9845,0.9813,0.860847177
Doc2g,0.9493,0.6076,0.9194,0.580137444
Gm962,0.9921,0.3746,0.7545,0.10821672
D630023F18Rik,0.2494,0.4893,0.5574,0.805181984
Phf10,0.6821,0.4243,0.3295,0.879214125
Brp44l,0.9213,0.9555,0.9624,0.986729279
AC133094.9,0.9615,0.4252,0.9438,0.710993329
1810058N15Rik,0.0861,0.1749,0.2028,0.355834682
Ccdc85a,0.476,0.8393,0.9222,0.894521326
A930104D05Rik,0.7811,0.9348,0.9174,0.995122091
Gstz1,0.3579,0.1608,0.7243,0.423653202
F5,0.9031,0.2644,0.8799,0.234645322
Adck2,0.4155,0.8886,0.8036,0.645497198
Yipf1,0.9894,0.6627,0.8529,0.963742786
Fbxo3,0.2413,0.3701,0.0814,0.123631532
Narfl,0.8471,0.1463,0.6511,0.381565491
Map3k8,0.9227,0.9017,0.9959,0.831674205
Boc,0.4552,0.8823,0.9967,0.667633898
1700128F08Rik,0.5011,0.7509,0.9957,0.85452878
Pgk1,0.1099,0.0788,0.6912,0.585318342
Caln1,0.9676,0.579,0.8639,0.935434941
Fbxo40,0.9411,0.8291,0.9947,0.758581039
B230312A22Rik,0.9794,0.5643,0.9633,0.763325376
Olfr1309,0.912,0.6655,0.4267,0.653748194
Spz1,0.2677,0.6102,0.985,0.697096087
Unc5b,0.8997,0.1447,0.9538,0.394606196
Pus7l,0.9833,0.1531,0.1203,0.944745276
Adam32,0.9409,0.8483,0.9209,0.933760531
5830418K08Rik,0.5734,0.7408,0.929,0.774828058
AC129773.1,0.9704,0.7649,0.9243,0.970156601
Dkk4,0.7715,0.673,0.6557,0.534963182
Als2cl,0.9186,0.9687,0.81,0.931429464
AC126266.2,0.0401,0.1076,0.4816,0.759737834
AC125209.1,0.9615,0.9714,0.9416,0.919684347
Gpr114,0.699,0.9584,0.7776,0.97485904
Olfr340,0.8906,0.9894,0.745,0.847535176
AC158997.2,0.0486,0.0843,0.5461,0.690693206
Als2cr4,0.3142,0.522,0.758,0.9220486
N6amt1,0.8851,0.9195,0.9457,0.972496234
Olfr1308,0.6779,0.9349,0.919,0.784003156
2410002F23Rik,0.5654,0.0926,0.9831,0.450196683
Nr2c2ap,0.9895,0.7149,0.5693,0.883519056
Mettl7b,0.1586,0.4177,0.2841,0.612313557
Zbtb17,0.6825,0.4786,0.9612,0.975100529
4933403F05Rik,0.9432,0.97,0.9578,0.921089944
Barhl1,0.7112,0.8893,0.6702,0.976552145
Ddx47,0.0771,0.1389,0.608,0.76181675
Fsip1,0.4279,0.1344,0.9995,0.752475992
Olfr426,0.6627,0.6562,0.8956,0.889808925
Ncor1,0.5099,0.4631,0.6912,0.640551955
AL807784.3,0.9002,0.7521,0.847,0.901041164
Ttc37,0.4963,0.8885,0.2588,0.932800624
Tpp1,0.7556,0.1481,0.7623,0.131329331
Nyx,0.7137,0.6578,0.917,0.876840726
Negr1,0.3945,0.5802,0.8337,0.952239195
AL805980.6,0.8436,0.645,0.7553,0.868237474
Sult1d1,0.8544,0.8404,0.9877,0.985562972
Dynlrb2,0.6804,0.7568,0.9448,0.98436898
Sh3glb2,0.9269,0.9778,0.9967,0.967241038
Lyzl1,0.8335,0.9297,0.974,0.973565621
Poldip2,0.5615,0.2174,0.7696,0.363394388
Ctsa,0.7412,0.3925,0.9549,0.897705781
Olfr661,0.9139,0.8913,0.9109,0.950215304
Sgsm1,0.9292,0.6692,0.8634,0.99778758
Nlrp9c,0.463,0.945,0.7703,0.939647908
Iqsec2,0.9501,0.1372,0.5231,0.817900369
Srgap1,0.9356,0.9901,0.9468,0.866834929
Krt23,0.8823,0.9849,0.8284,0.628327794
Cav2,0.899,0.8233,0.9889,0.98436898
Olfr429,0.2656,0.5571,0.6076,0.874843475
RP23-139P14.25,0.7718,0.8033,0.9744,0.993036507
Il18,0.9742,0.0596,0.3854,0.574226216
AL805980.3,0.0022,0.0195,0.0437,0.001179665
AC160460.1,0.9455,0.5744,0.9575,0.83674707
Chrac1,0.912,0.9918,0.8169,0.914462302
RP23-49C8.2,0.8929,0.5472,0.493,0.986973399
1700003E16Rik,0.9376,0.9121,0.5726,0.782217015
Cd5l,0.6791,0.9664,0.9334,0.896738826
Bambi,0.4179,0.8786,0.3367,0.987239442
AL831722.3,0.8607,0.7379,0.9868,0.925630687
Otud7b,0.9758,0.0966,0.3514,0.834988733
RP23-139P14.24,0.7718,0.8033,0.9744,0.993036507
Usp4,0.9031,0.3086,0.9186,0.722232985
4931422A03Rik,0.8275,0.6367,0.8693,0.69111279
St6galnac6,0.8511,0.354,0.7526,0.601400639
Olfr514,0.9254,0.4791,0.9877,0.644459527
Trpa1,0.8415,0.9921,0.9753,0.901145905
Olfr371,0.6905,0.2971,0.55,0.860989432
Gm694,0.3111,0.3063,0.7116,0.694611845
Vps13d,0.8228,0.7441,0.9959,0.970156601
Olfr432,0.6913,0.4659,0.6925,0.826882568
Gnb5,0.6411,0.3994,0.8207,0.58035734
Hgsnat,0.169,0.9091,0.1108,0.983638799
Snx9,0.9408,0.3059,0.859,0.205000217
AC115876.1,0.7062,0.5281,0.8866,0.743152336
Spata7,0.5327,0.3597,0.958,0.989073179
Nr2e3,0.9614,0.5811,0.9693,0.795898269
Col8a2,0.816,0.1149,0.9645,0.400571925
Myo3a,0.5496,0.1687,0.8784,0.918876294
Dolk,0.6141,0.9738,0.3057,0.706731783
Ppp2r5e,0.771,0.3238,0.9698,0.095862921
Tmem211,0.6295,0.9646,0.8573,0.95359429
AC142504.1,0.6396,0.2018,0.7044,0.997729058
Adam8,0.9075,0.8789,0.7202,0.653961828
RP23-139P14.23,0.7718,0.8033,0.9744,0.993036507
Dnahc14,0.7347,0.7306,0.8658,0.845264725
Galt,0.4865,0.6271,0.6212,0.742531736
Hist1h2af,0.7353,0.3198,0.9744,0.800763474
Bmp10,0.944,0.9506,0.9625,0.968725746
Btc,0.8609,0.9687,0.8631,0.951821988
Ngp,0.2726,0.4408,0.5626,0.740449548
Bex1,0.8384,0.9472,0.5856,0.706011015
Acaa2,8.51706289651646E-4,0.2058,6.22786257657371E-4,0.10907946
Nudt8,0.0115,0.0214,0.007,0.009623032
Olfr339,0.8585,0.8901,0.9655,0.987352306
Ccdc121,0.8309,0.9393,0.6115,0.397797396
Gpr171,0.7599,0.8849,0.8904,0.735481569
Cyp4a12b,0.9823,0.936,0.8296,0.848164625
Adarb2,0.9527,0.9039,0.974,0.943460675
AC113015.2,0.9453,0.9218,0.682,0.620539187
Serbp1,0.9413,0.9962,0.8714,0.933379965
Nt5c2,0.7609,0.4301,0.9233,0.950611555
Lmo7,0.895,0.9545,0.8917,0.942831504
AC154873.1,0.9838,0.8659,0.7684,0.871203131
4930578C19Rik,0.7736,0.4181,0.9634,0.709884177
Olfr659,0.5313,0.6687,0.9587,0.841186454
Neurl2,0.6025,0.938,0.3541,0.892586752
Pla2g2a,0.761,0.793,0.7566,0.764134494
Cyp26a1,0.7545,0.5922,0.9209,0.980633319
Brsk2,0.3462,0.1382,0.8665,0.571294332
Gpr125,0.7638,0.9567,0.4126,0.641574547
AC155933.2,0.7457,0.1574,0.2369,0.813992775
Nmral1,0.4037,0.3625,0.9813,0.973565621
4930402E16Rik,0.5506,0.8072,0.9148,0.969236578
Plekha8,0.0308,0.1851,0.1441,0.56799579
Pou2f1,0.5664,0.2627,0.9376,0.686639118
Krt20,0.0456,0.5581,0.3671,0.970965352
Spty2d1,0.9732,0.9371,0.8846,0.82453865
Ccdc138,0.9263,0.7149,0.8176,0.930671914
Trappc3,0.0374,0.2267,0.0154,0.088660723
Pogz,0.5934,0.3419,0.8809,0.99265391
Ccdc54,0.8679,0.5919,0.9929,0.86398968
Nhlrc1,0.6686,0.264,0.964,0.643159561
Acad8,0.7192,0.8645,0.9908,0.934216231
Ndufb7,0.5431,0.7323,0.9967,0.898387632
2900026A02Rik,0.8025,0.4575,0.9312,0.660299874
Mtch1,0.5621,0.2536,0.8353,0.495752737
Uap1l1,0.9464,0.3206,0.8699,0.749374594
Olfr402,0.9114,0.9255,0.8509,0.992897719
AC113001.1,0.6563,0.8502,0.981,0.399871781
Klrc3,0.988,0.9768,0.9549,0.959543181
AC118234.1,0.1825,0.0455,0.8995,0.532080899
Gprc6a,0.8944,0.9254,0.8471,0.762130689
Msc,0.8179,2.49478168633534E-4,0.134,2.95520969725957E-5
Gm5156,0.4399,0.8863,0.8975,0.852293698
Olfr338,0.8043,0.7216,0.9768,0.944243658
Rims2,0.1272,0.007,0.032,0.001669917
Acaa1a,0.0404,0.0278,0.022,0.011643521
1700028J19Rik,0.9026,0.9805,0.9965,0.946763458
RP23-194C12.1,0.8724,0.4905,0.8056,0.706204291
Olfr106,0.2742,0.7614,0.884,0.83674707
BX255910.2,0.9026,0.6636,0.9849,0.900090049
Uox,0.8725,0.8494,0.7539,0.996686119
Oas1b,0.8226,0.5714,0.9883,0.845966796
1700020C07Rik,0.9229,0.8703,0.5089,0.806084316
Cnih3,0.9031,0.5953,0.743,0.886874198
Apoc4,0.9026,0.3116,0.8933,0.297803092
Gpbp1,0.2511,0.3162,0.8744,0.931785627
Tcf20,0.9485,0.4659,0.6572,0.994401723
Gm6899,0.7454,0.5408,0.9878,0.887726984
Piwil2,0.9505,0.0602,0.9611,0.064682758
Taf6l,0.7981,0.1566,0.8628,0.718294367
Kcnj1,0.999,0.9455,0.9486,0.987239442
Olfr513,0.9529,0.9894,0.974,0.934457163
Thbs1,0.1385,0.42,0.4328,0.80815458
Rufy3,0.3163,0.4597,0.9941,0.921838836
Olfr176,0.9012,0.9179,0.7596,0.956158118
Psmc3ip,0.9227,0.2963,0.3406,0.010346619
Plod2,0.0297,0.1181,0.2431,0.609999661
Sf3b1,0.8523,0.7091,0.6467,0.739026439
Foxa1,0.8794,0.8004,0.9758,0.721098025
Irx4,0.7991,0.9254,0.8406,0.936838127
Flt4,0.2124,0.0947,0.9959,0.888556104
Olfr512,0.8762,0.9493,0.7341,0.384970575
AL807249.1,0.9614,0.3009,0.9131,0.238120325
Zfp524,0.9964,0.9099,0.9008,0.760499073
Fbxo21,0.9373,0.4563,0.868,0.682725262
Cct6b,9.73260966898754E-4,0.7668,0.0039,0.355642477
Frem3,0.6627,0.9925,0.0704,0.261653791
Fam179a,0.986,0.9481,0.9732,0.901239107
Aifm3,0.9706,0.9197,0.9648,0.924069978
Slc25a28,0.6443,0.5929,0.7772,0.71772252
Stmn2,0.7145,0.2423,0.8278,0.315774327
Zswim1,0.7325,0.6423,0.9635,0.244855076
Olfr510,0.9786,0.9592,0.9268,0.936458134
Vrk3,0.9575,0.6939,0.9362,0.936309155
Kcnq4,0.9063,0.9148,0.5449,0.801376142
Krt12,0.9993,0.5647,0.6474,0.992897719
Chd1l,0.829,0.3122,0.8588,0.886424118
RP23-139P14.22,0.7718,0.8033,0.9744,0.993036507
B4galt6,0.9437,0.4774,0.9457,0.509126745
Rmnd5b,0.8282,0.3305,0.6278,0.671956136
Tbrg4,0.6052,0.5531,0.2881,0.238732907
Dio1,0.3184,0.2136,0.9209,0.971622225
Slc30a10,0.9799,0.7914,0.9454,0.748962284
Ralb,0.2512,0.9584,0.3896,0.992430214
AC129078.1,0.9151,0.6361,0.7682,0.950397035
Cdh20,0.9478,0.2757,0.8936,0.652028785
Cited4,0.028,0.7408,0.0253,0.857052779
Kpnb1,0.6504,0.9894,0.6275,0.165272961
Olfr1306,0.768,0.6887,0.9932,0.970156601
Gnptg,0.8848,0.8677,0.963,0.964226098
Olfr1380,0.9055,0.7672,0.9802,0.964536435
Camk2g,0.2348,0.221,0.8542,0.827486007
Akt2,0.388,0.5829,0.9813,0.069523497
Metap2,0.6176,0.4298,0.891,0.968725746
Parp11,0.6207,0.9271,0.7985,0.995998607
Klra3,0.965,0.9554,0.9441,0.82616996
Rasa4,0.8803,0.7537,0.8948,0.819403632
Olfr433,0.8458,0.5633,0.8045,0.742075147
AL929409.1,0.7213,0.9483,0.7046,0.363295849
Hspb7,0.3884,0.9561,0.974,0.417306505
Uxs1,0.6469,0.261,0.8209,0.987319887
4931409K22Rik,0.655,0.2689,0.875,0.951939144
Prph,0.7443,0.5517,0.2177,0.95416299
Ep400,0.8129,0.3834,0.9825,0.774419923
Stk24,0.6638,0.352,0.9744,0.885452974
Lhx3,0.7378,0.7328,0.7817,0.755527174
Gngt1,0.984,0.662,0.9416,0.819615113
RP23-222K9.2,0.2266,0.4903,0.8475,0.992766386
Atp13a5,0.7931,0.6064,0.9164,0.558880953
AC148321.1,0.7035,0.9807,0.7666,0.983638799
AL845304.5,0.3221,0.9982,0.6943,0.066458006
Zfp318,0.1442,0.0883,0.7404,0.573409872
Ank3,0.9538,0.2356,0.5206,0.036083501
BX855599.1,0.7151,0.8569,0.9098,0.750951237
Nr2e1,0.9489,0.3311,0.8687,0.22804289
RP23-139P14.20,0.7718,0.8033,0.9744,0.993036507
AC125209.4,0.7151,0.8569,0.9098,0.750951237
RP23-89M15.2,0.1564,0.6096,0.0521,0.971092492
Map3k9,0.9803,0.8481,0.9671,0.774419923
Cyp2c66,0.9148,0.8108,0.9867,0.928462119
Abcc1,0.6741,0.7017,0.2335,0.235211453
Prdm6,0.7042,0.8432,0.256,0.358209491
Sult5a1,0.9343,0.4504,0.969,0.72716067
4930408F14Rik,0.7151,0.8569,0.9098,0.750951237
Gkn3,0.979,0.7481,0.683,0.265897635
Sdr9c7,0.9493,0.8324,0.8954,0.968176814
C1rl,0.0597,0.074,0.7901,0.824589552
Tmie,0.6772,0.9824,0.8767,0.943460675
Defa20,0.9615,0.4252,0.9438,0.710993329
Lancl1,0.0256,0.2323,0.2885,0.891580439
Olfr1325,0.8496,0.2824,0.9177,0.758542723
Slc26a1,0.544,0.4489,0.9712,0.936401381
Mapk3,0.0518,0.2565,0.1982,0.62863917
Nup62cl,0.8761,0.9476,0.6885,0.531234257
Trp53bp1,0.2027,0.1288,0.191,0.102395523
D14Abb1e,0.1557,0.1814,0.5947,0.626454492
Tbx10,0.8217,0.9658,0.8923,0.992766386
Rpl10,0.8585,0.1447,0.7866,0.722847672
Clk3,0.7612,0.1595,0.9831,0.52279223
Nup35,0.5061,0.4806,0.9301,0.92663626
Dhrs7b,0.5159,0.7119,0.0166,6.10590217715551E-4
Tmem199,0.9575,0.6131,0.5428,0.854132556
Olfr1381,0.9128,0.6309,0.7421,0.923580468
Cul2,0.6502,0.2971,0.9799,0.737574373
Zscan4c,0.316,0.8897,0.8767,0.76591455
Ahrr,0.8506,0.75,0.8446,0.725571957
Entpd8,0.4222,0.4741,0.989,0.982016481
Sycn,0.9404,0.9769,0.8634,0.945160414
Alad,0.5818,0.8636,0.8914,0.970156601
Olfr459,0.9912,0.7325,0.983,0.805779439
Shc1,0.442,0.2622,0.5454,0.269442896
Slc38a4,0.6057,0.9924,0.756,0.975059016
Ppic,0.9629,0.1106,0.4909,0.007597515
Gpr63,0.9152,0.9414,0.3054,0.514216827
RP23-139P14.19,0.7718,0.8033,0.9744,0.993036507
AC121967.1,0.1405,0.6865,0.9959,0.472883037
Mrpl20,0.8626,0.913,0.9257,0.905840206
Abcc3,0.4717,0.958,0.3907,0.879151317
Dct,0.5079,0.6536,0.8387,0.930682939
Esm1,0.9347,0.5565,0.9416,0.597414154
Kcns3,0.2341,0.9298,0.2184,0.896738826
Cited1,0.7909,0.9793,0.8394,0.541762201
Scly,0.343,0.8061,0.4942,0.912776058
Zdhhc2,0.8164,0.9414,0.7948,0.897705781
Olfr965,0.7294,0.5132,0.9098,0.992488581
A530032D15Rik,0.7495,0.4329,0.7861,0.959333261
Exosc2,0.8941,0.2191,0.9438,0.566813021
AK129341,0.9222,0.4594,0.958,0.776924589
Olfr1305,0.9437,0.8433,0.7103,0.782326723
Anp32a,0.1818,0.8102,0.1386,0.719082957
A630007B06Rik,0.8929,0.6773,0.8753,0.983805334
St6galnac4,0.1292,0.0398,0.9275,0.654700102
AC119205.2,0.6876,0.2447,0.2776,0.676557213
E230028L10Rik,0.8602,0.9865,0.9552,0.758128907
Hmgxb3,0.9233,0.915,0.7861,0.461280006
RP23-246F18.3,0.7915,0.7446,0.5001,0.42882974
Sema3b,0.8105,0.3276,0.916,0.844548932
Olfr250,0.9629,0.8992,0.636,0.815500076
Scgb3a2,0.6286,0.9778,0.9165,0.806084316
Rdh14,0.918,0.1605,0.7687,0.07122726
Haus4,0.8164,0.6659,0.8926,0.765133686
Dync2h1,0.4924,0.2755,0.8542,0.965097111
Krt10,0.9799,0.723,0.9791,0.676065082
Rabgap1l,0.7336,0.3773,0.8671,0.526771504
AL844157.1,0.9908,0.6988,0.8509,0.961936054
Rnd3,0.1034,0.0083,0.3719,0.028658032
AC119214.1,0.6702,0.6487,0.986,0.984747922
1500015O10Rik,0.6828,0.5885,0.8629,0.512319396
Cadps,0.1478,0.6516,0.2826,0.56153159
Pde7a,0.2775,0.131,0.868,0.639892199
RP24-188M1.3,0.039,0.0143,0.8763,0.624031426
Ifi205,0.9629,0.6027,0.995,0.751556662
4432412L15Rik,0.955,0.7675,0.8734,0.986079492
Tmem88b,0.9586,0.9757,0.7496,0.822161635
Sult4a1,0.6849,0.2904,0.9877,0.78424744
Dusp1,0.0494,0.0194,0.1884,0.066457423
Olfr1303,0.9794,0.9814,0.9618,0.992317434
Ankar,0.8986,0.6875,0.6293,0.993027823
Arl11,0.7813,0.9195,0.8846,0.704871597
Dcaf13,0.3431,0.4349,0.9483,0.850229843
Dom3z,0.9662,0.9894,0.7337,0.644459527
Fxyd7,0.8924,0.9159,0.6652,0.907017754
Gphb5,0.961,0.9712,0.9533,0.997729058
Ly6f,0.6099,0.9025,0.625,0.887726984
AC102874.1,0.7714,0.7743,0.5956,0.978592692
Cdc73,0.0806,0.0577,0.1349,0.08428978
D18Ertd653e,0.9963,0.6126,0.9226,0.832912558
Hunk,0.7277,0.8148,0.7245,0.784409689
Tmem179b,0.089,0.1341,0.3109,0.407458278
Vstm2a,0.4034,0.6903,0.8606,0.327937157
1600012H06Rik,0.8356,0.7499,0.7246,0.75750509
Zswim3,0.6897,0.326,0.96,0.687794679
Fam190a,0.9364,0.6276,0.8719,0.819854567
Traip,0.9124,0.7868,0.9924,0.953145496
